ID_Pelicula,titulo,año,genero,director,popularidad
141,This Gun for Hire,1991,Drama,Lou Antonio,8.837
142,Burglar,1987,Comedy,Hugh Wilson,6.587
143,The Valiant,1961,War,Roy Ward Baker,5.264
144,Africa addio,1966,Documentary,"Gualtiero Jacopetti, Franco Prosperi",4.153
145,Africa Express,1975,Adventure,Michele Lupo,1.4
146,Africa sotto i mari,1952,Adventure,Giovanni Roccardi,0.6
147,L'africana,1990,Drama,Margarethe Von Trotta,1.969
150,L'âge d'or,1930,Drama,Luis Buñuel,8.657
151,Taking Care of Business,1990,Comedy,Arthur Hiller,11.023
154,From Russia with Love,1963,Spy,Terence Young,26.161
155,The Man with the Golden Gun,1974,Spy,Guy Hamilton,19.744
158,You Only Live Twice,1967,Spy,Lewis Gilbert,27.382
159,Thunderball,1965,Spy,Terence Young,23.416
162,Diamonds Are Forever,1971,Spy,Guy Hamilton,20.053
163,Coplan prend des risques,1964,Spy,Maurice Labro,2.222
164,Dangerous Mission,1954,Thriller,Louis King,4.15
165,Under Cover,1987,Thriller,John Stockwell,3.52
167,Agente segreto 777 - Invito a uccidere,1965,Spy,Enrico Bomba,0.872
168,Agente segreto 777 - Operazione mistero,1966,Spy,Henry Bay,1.77
169,Madame Sin,1972,Spy,David Greene,2.372
170,Agente speciale L. K. - Operazione Re Mida,1967,Adventure,Jess Franco,1.492
172,The Hostage Tower,1980,Spy,Claudio Guzman,2.357
173,The Pawnshop,1916,Comedy,Charles Chaplin,5.423
175,Al acecho,1988,Adventure,Gerardo Herrero,1.732
176,Agguato a Tangeri,1957,Thriller,Riccardo Freda,0.6
177,Across the Pacific,1942,Spy,John Huston,5.307
178,Hard Ticket to Hawaii,1987,Crime,Andy Sidaris,6.633
179,Hostile Guns,1967,Western,R. G. Springsteen,2.715
180,Rhino!,1964,Adventure,Ivan Tors,8.823
181,Die Flusspiraten vom Mississippi,1964,Western,Jürgen Roland,1.53
182,"Agi Murad, il diavolo bianco",1959,Adventure,Robert Hampton (Riccardo Freda),3.121
183,Agnes of God,1985,Drama,Norman Jewison,6.44
185,City Limits,1985,Fantasy,Aaron Lipstadt,4.658
186,Ai margini della metropoli,1953,Drama,Carlo Lizzani,0.841
187,"Ai vostri ordini, signora...",1939,Comedy,Mario Mattòli,5.101
188,Aida,1953,Musical,Clemente Fracassi,4.29
189,Air America,1990,Adventure,Roger Spottiswoode,16.009
193,Airport '77,1977,Action,Jerry Jameson,10.769
194,Baby on Board,1991,Comedy,Francis Schaeffer,6.456
196,It Nearly Wasn't Christmas,1989,Comedy,Burt Brickerhoff,2.021
198,Akiko,1961,Comedy,Luigi Filippo D'Amico,1.722
199,Al bar dello sport,1983,Comedy,Francesco Massaro,5.599
200,Al calar della sera,1992,Thriller,Alessandro Lucidi,0.905
201,Al Capone,1959,Gangster,Richard Wilson,4.616
202,Storm Center,1956,Drama,Daniel Taradash,3.09
203,Journey to the Center of the Earth,1987,Adventure,Rusty Lemorande,17.374
204,Drums Across the River,1954,Western,Nathan Juran,3.865
205,Die Nackt und der Satan,1959,Horror,Victor Trivas,2.603
207,Al di là della legge,1968,Western,Giorgio Stegani,3.434
208,All the Way Home,1963,Drama,Alex Segal,2.712
209,The Lawyer,1970,Drama,Sidney J. Furie,21.053
210,Above Suspicion,1943,Spy,Richard Thorpe,9.512
211,Checking Out,1988,Grotesque,David Leland,5.222
212,Al diavolo la celebrità,1949,Comedy,"Mario Monicelli, Steno",0.877
213,I'll Be Seeing You,1945,Comedy,William Dieterle,5.15
214,Alambrado,1991,Drama,Marco Bechis,1.126
216,Alamo Bay,1985,Drama,Louis Malle,5.345
217,Steel Dawn,1987,Fantasy,Lance Hool,8.762
218,Dallas: The Early Years,1986,Comedy,Larry Elikann,2.309
